date,RSSI
2020-07-08 11:30:43.175858,74
2020-07-08 11:30:44.311864,74
2020-07-08 11:30:45.414865,74
2020-07-08 11:30:46.534853,74
2020-07-08 11:30:47.653856,74
2020-07-08 11:30:48.773854,74
2020-07-08 11:30:49.894862,74
2020-07-08 11:30:51.012890,74
2020-07-08 11:30:52.132854,75
2020-07-08 11:30:53.251946,74
2020-07-08 11:30:54.371879,74
2020-07-08 11:30:55.491854,77
2020-07-08 11:30:56.611434,76
2020-07-08 11:30:57.731437,74
2020-07-08 11:30:58.850432,80
2020-07-08 11:30:59.969433,79
2020-07-08 11:31:01.091452,77
2020-07-08 11:31:02.209432,76
2020-07-08 11:31:03.344433,77
2020-07-08 11:31:04.464432,76
2020-07-08 11:31:05.584441,78
2020-07-08 11:31:06.688440,79
2020-07-08 11:31:07.807434,74
2020-07-08 11:31:08.942528,74
2020-07-08 11:31:10.063438,76
2020-07-08 11:31:11.182432,76
2020-07-08 11:31:12.301432,74
2020-07-08 11:31:13.421436,74
2020-07-08 11:31:14.540431,75
2020-07-08 11:31:15.644432,76
2020-07-08 11:31:16.780435,76
2020-07-08 11:31:17.883439,75
2020-07-08 11:31:19.002524,75
2020-07-08 11:31:20.122433,75
2020-07-08 11:31:21.242432,76
2020-07-08 11:31:22.361432,76
2020-07-08 11:31:23.482437,75
2020-07-08 11:31:24.601439,75
2020-07-08 11:31:25.721478,75
2020-07-08 11:31:26.840432,75
2020-07-08 11:31:27.960451,76
2020-07-08 11:31:29.079433,76
2020-07-08 11:31:30.199436,75
2020-07-08 11:31:31.335440,75
2020-07-08 11:31:32.438022,75
2020-07-08 11:31:33.557932,75
2020-07-08 11:31:34.676931,75
2020-07-08 11:31:35.797022,75
2020-07-08 11:31:36.916967,75
2020-07-08 11:31:38.021951,75
2020-07-08 11:31:39.139932,75
2020-07-08 11:31:40.275933,76
2020-07-08 11:31:41.378991,75
2020-07-08 11:31:42.530933,74
2020-07-08 11:31:43.634025,75
2020-07-08 11:31:44.754941,74
2020-07-08 11:31:45.873936,75
2020-07-08 11:31:46.993934,75
2020-07-08 11:31:48.112932,74
2020-07-08 11:31:49.232939,76
2020-07-08 11:31:50.351932,75
2020-07-08 11:31:51.471931,75
2020-07-08 11:31:52.591027,74
2020-07-08 11:31:53.710932,72
2020-07-08 11:31:54.830024,71
2020-07-08 11:31:55.950940,72
2020-07-08 11:31:57.085934,72
2020-07-08 11:31:58.188933,74
2020-07-08 11:31:59.309944,75
2020-07-08 11:32:00.428937,75
2020-07-08 11:32:01.531931,75
2020-07-08 11:32:02.651933,74
2020-07-08 11:32:03.770935,75
2020-07-08 11:32:04.890933,75
2020-07-08 11:32:06.010932,74
2020-07-08 11:32:07.129979,75
2020-07-08 11:32:08.249931,75
2020-07-08 11:32:09.368942,75
2020-07-08 11:32:10.488931,76
2020-07-08 11:32:11.623931,75
2020-07-08 11:32:12.743964,74
2020-07-08 11:32:13.847932,75
2020-07-08 11:32:14.967998,71
2020-07-08 11:32:16.086931,75
2020-07-08 11:32:17.206955,75
2020-07-08 11:32:18.325934,75
2020-07-08 11:32:19.445932,74
2020-07-08 11:32:20.565938,72
2020-07-08 11:32:21.684932,72
2020-07-08 11:32:22.820956,72
2020-07-08 11:32:23.924016,75
2020-07-08 11:32:25.044990,75
2020-07-08 11:32:26.179023,72
2020-07-08 11:32:27.282936,72
2020-07-08 11:32:28.418967,71
2020-07-08 11:32:29.538029,71
2020-07-08 11:32:30.657931,71
2020-07-08 11:32:31.793931,71
2020-07-08 11:32:32.897009,71
2020-07-08 11:32:34.016934,74
2020-07-08 11:32:35.137064,74
2020-07-08 11:32:36.257064,74
2020-07-08 11:32:37.376063,74
